Area	ElectoralWard	RTBArea
Buncrana Town	001 Buncrana Urban	"Buncrana, Donegal"
Bundoran Town	002 Bundoran Urban	"Bundoran, Donegal"
Letterkenny Town	003 Letterkenny Urban	"Letterkenny, Donegal"
Ballyshannon rural area	004 Ballintra	Donegal
Ballyshannon rural area	005 Ballyshannon Rural	Donegal
Ballyshannon rural area	006 Ballyshannon Urban	Donegal
Ballyshannon rural area	007 Bundoran Rural	Donegal
Ballyshannon rural area	008 Carrickboy	Donegal
Ballyshannon rural area	009 Cavangarden	Donegal
Ballyshannon rural area	010 Cliff	Donegal
Donegal rural area	011 Ballintra	Donegal Town
Donegal rural area	012 An Bhinn Bhán	Donegal Town
Donegal rural area	013 Bonnyglen	Donegal Town
Donegal rural area	014 Clogher	Donegal Town
Donegal rural area	015 Corkermore	Donegal Town
Donegal rural area	016 Donegal	Donegal Town
Donegal rural area	017 Dunkineely	Donegal Town
Donegal rural area	018 Eanymore	Donegal Town
Donegal rural area	019 Grousehall	Donegal Town
Donegal rural area	020 Haugh	Donegal Town
Donegal rural area	021 Inver	Donegal Town
Donegal rural area	022 Laghy	Donegal Town
Donegal rural area	023 Loch Iascaigh	Donegal Town
Donegal rural area	024 Pettigoe	Donegal Town
Donegal rural area	025 Tantallon	Donegal Town
Donegal rural area	026 Tawnawully	Donegal Town
Donegal rural area	027 Templecarn	Donegal Town
Donegal rural area	028 Tullynaught	Donegal Town
Dunfanaghy rural area	029 Ards	Donegal
Dunfanaghy rural area	030 Críoch na Sméar	Donegal
Dunfanaghy rural area	031 An Craoslach	Donegal
Dunfanaghy rural area	032 Na Croisbhealaí	Donegal
Dunfanaghy rural area	033 Caisleán na dTuath	Donegal
Dunfanaghy rural area	034 Dún Fionnachaidh	Donegal
Dunfanaghy rural area	035 Dún Lúiche	Donegal
Dunfanaghy rural area	036 Gort an Choirce	Donegal
Dunfanaghy rural area	037 Machaire Chlochair	Donegal
Dunfanaghy rural area	038 Mín an Chladaigh	Donegal
Glenties rural area	039 Anagaire	Donegal
Glenties rural area	040 Árainn Mhór	Donegal
Glenties rural area	041 Ard an Rátha	Donegal
Glenties rural area	042 Cró Bheithe	Donegal
Glenties rural area	043 Cró Chaorach	Donegal
Glenties rural area	044 Crownarad	Donegal
Glenties rural area	045 Dawros	Donegal
Glenties rural area	046 An Dúchoraidh	Donegal
Glenties rural area	047 An Clochán Liath	Donegal
Glenties rural area	048 Baile na Finne	Donegal
Glenties rural area	049 Gleann Cholm Cille	Donegal
Glenties rural area	050 Gleann Gheis	Donegal
Glenties rural area	051 Gleann Léithín	Donegal
Glenties rural area	052 Na Gleannta	Donegal
Glenties rural area	053 An Ghrafaidh	Donegal
Glenties rural area	054 Inis Caoil	Donegal
Glenties rural area	055 Cill Charthaigh	Donegal
Glenties rural area	056 Cill Ghabhlaigh	Donegal
Glenties rural area	057 Killybegs	Donegal
Glenties rural area	058 An Leargaidh Mhór	Donegal
Glenties rural area	059 Leitir Mhic an Bhaird	Donegal
Glenties rural area	060 Maas	Donegal
Glenties rural area	061 An Machaire	Donegal
Glenties rural area	062 Málainn Bhig	Donegal
Glenties rural area	063 Maol Mosóg	Donegal
Glenties rural area	064 Inis Mhic an Doirn	Donegal
Glenties rural area	065 Tieveskeelta	Donegal
Inishowen rural area	066 Ardmalin	"Carndonagh, Donegal"
Inishowen rural area	067 Ballyliffin	"Carndonagh, Donegal"
Inishowen rural area	068 Birdstown	"Carndonagh, Donegal"
Inishowen rural area	069 Buncrana Rural	"Carndonagh, Donegal"
Inishowen rural area	070 Burt	"Carndonagh, Donegal"
Inishowen rural area	071 Carndonagh	"Carndonagh, Donegal"
Inishowen rural area	072 Carthage	"Carndonagh, Donegal"
Inishowen rural area	073 Castlecary	"Carndonagh, Donegal"
Inishowen rural area	074 Castleforward	"Carndonagh, Donegal"
Inishowen rural area	075 Culdaff	"Carndonagh, Donegal"
Inishowen rural area	076 Desertegny	"Carndonagh, Donegal"
Inishowen rural area	077 Dunaff	"Carndonagh, Donegal"
Inishowen rural area	078 Fahan	"Carndonagh, Donegal"
Inishowen rural area	079 Glennagannon	"Carndonagh, Donegal"
Inishowen rural area	080 Gleneely	"Carndonagh, Donegal"
Inishowen rural area	081 Glentogher	"Carndonagh, Donegal"
Inishowen rural area	082 Greencastle	"Carndonagh, Donegal"
Inishowen rural area	083 Illies	"Carndonagh, Donegal"
Inishowen rural area	084 Inch Island	"Carndonagh, Donegal"
Inishowen rural area	085 Kilderry	"Carndonagh, Donegal"
Inishowen rural area	086 Killea	"Carndonagh, Donegal"
Inishowen rural area	087 Malin	"Carndonagh, Donegal"
Inishowen rural area	088 Mintiaghs	"Carndonagh, Donegal"
Inishowen rural area	089 Moville	"Carndonagh, Donegal"
Inishowen rural area	090 Newtown Cunningham	"Carndonagh, Donegal"
Inishowen rural area	091 Redcastle	"Carndonagh, Donegal"
Inishowen rural area	092 Straid	"Carndonagh, Donegal"
Inishowen rural area	093 Three Trees	"Carndonagh, Donegal"
Inishowen rural area	094 Turmone	"Carndonagh, Donegal"
Inishowen rural area	095 Whitecastle	"Carndonagh, Donegal"
Letterkenny rural area	096 Ballymacool	"Letterkenny, Donegal"
Letterkenny rural area	097 Castlewray	"Letterkenny, Donegal"
Letterkenny rural area	098 Mín an Lábáin	"Letterkenny, Donegal"
Letterkenny rural area	099 Corravaddy	"Letterkenny, Donegal"
Letterkenny rural area	100 Edenacarnan	"Letterkenny, Donegal"
Letterkenny rural area	101 Gartán	"Letterkenny, Donegal"
Letterkenny rural area	102 Gortnavern	"Letterkenny, Donegal"
Letterkenny rural area	103 Killymasny	"Letterkenny, Donegal"
Letterkenny rural area	104 Kincraigy	"Letterkenny, Donegal"
Letterkenny rural area	105 Letterkenny Rural	"Letterkenny, Donegal"
Letterkenny rural area	106 Magheraboy	"Letterkenny, Donegal"
Letterkenny rural area	107 Manorcunningham	"Letterkenny, Donegal"
Letterkenny rural area	108 Suí Corr	"Letterkenny, Donegal"
Letterkenny rural area	109 Templedouglas	"Letterkenny, Donegal"
Millford rural area	110 Ballyarr	"Letterkenny, Donegal"
Millford rural area	111 Carraig Airt	"Letterkenny, Donegal"
Millford rural area	112 An Cheathrú Chaol	"Letterkenny, Donegal"
Millford rural area	113 Creamhghort	"Letterkenny, Donegal"
Millford rural area	114 Fánaid Thuaidh	"Letterkenny, Donegal"
Millford rural area	115 Fánaid Thiar	"Letterkenny, Donegal"
Millford rural area	116 Glen	"Letterkenny, Donegal"
Millford rural area	117 Glenalla	"Letterkenny, Donegal"
Millford rural area	118 Grianfort	"Letterkenny, Donegal"
Millford rural area	119 Killygarvan	"Letterkenny, Donegal"
Millford rural area	120 Kilmacrenan	"Letterkenny, Donegal"
Millford rural area	121 Cnoc Colbha	"Letterkenny, Donegal"
Millford rural area	122 Loch Caol	"Letterkenny, Donegal"
Millford rural area	123 Millford	"Letterkenny, Donegal"
Millford rural area	124 Rathmelton	"Letterkenny, Donegal"
Millford rural area	125 Rathmullan	"Letterkenny, Donegal"
Millford rural area	126 Ros Goill	"Letterkenny, Donegal"
Millford rural area	127 Rosnakill	"Letterkenny, Donegal"
Millford rural area	128 An Tearmann	"Letterkenny, Donegal"
Stranorlar rural area	129 Allt na Péiste	"Ballybofey, Donegal"
Stranorlar rural area	130 Castlefinn	"Ballybofey, Donegal"
Stranorlar rural area	131 An Clochán	"Ballybofey, Donegal"
Stranorlar rural area	132 Cloghard	"Ballybofey, Donegal"
Stranorlar rural area	133 Clonleigh North	"Ballybofey, Donegal"
Stranorlar rural area	134 Clonleigh South	"Ballybofey, Donegal"
Stranorlar rural area	135 Convoy	"Ballybofey, Donegal"
Stranorlar rural area	136 Dooish	"Ballybofey, Donegal"
Stranorlar rural area	137 Feddyglass	"Ballybofey, Donegal"
Stranorlar rural area	138 Figart	"Ballybofey, Donegal"
Stranorlar rural area	139 Gleneely	"Ballybofey, Donegal"
Stranorlar rural area	140 Goland	"Ballybofey, Donegal"
Stranorlar rural area	141 Killygordon	"Ballybofey, Donegal"
Stranorlar rural area	142 Knock	"Ballybofey, Donegal"
Stranorlar rural area	143 Lettermore	"Ballybofey, Donegal"
Stranorlar rural area	144 Mín Charraigeach	"Ballybofey, Donegal"
Stranorlar rural area	145 Raphoe	"Lifford, Donegal"
Stranorlar rural area	146 St. Johnstown	"Lifford, Donegal"
Stranorlar rural area	147 Stranorlar	"Stranorlar, Donegal"
Stranorlar rural area	148 Treantaghmucklagh	"Ballybofey, Donegal"
Stranorlar rural area	149 Urney West	"Ballybofey, Donegal"
