EARNING_TYPE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Average Regular Earnings (Euro),33622,34184,33588,33173,33345,33285,33208,33684,33982,34611,35615
Average Overtime Earnings (Euro),1205,979,971,958,931,902,920,930,989,1015,1049
Average Total Earnings excluding Irregular (Euro),34826,35163,34559,34131,34275,34187,34128,34614,34971,35625,36664
Average Irregular Earnings (Euro),1932,1622,1718,1695,1790,1763,1909,1844,1963,2011,2207
Average Total Earnings (Euro),36758,36785,36277,35826,36065,35951,36037,36457,36933,37637,38871
Average Other Labour Costs (Euro),5912,5959,5377,5165,5510,5637,5598,5715,5881,6004,6088
Average Total Labour Costs (Euro),42670,42744,41654,40990,41575,41587,41635,42172,42814,43641,44959
Average Hourly Regular Earnings  (Euro),19.78,20.63,20.41,20.3,20.32,20.29,20.13,20.22,20.29,20.63,21.14
Average Hourly Overtime Earnings (Euro),0.71,0.59,0.59,0.59,0.57,0.55,0.56,0.56,0.59,0.6,0.62
Average Hourly Total Earnings excluding Irregular (Euro),20.48,21.22,21,20.89,20.89,20.84,20.69,20.78,20.88,21.23,21.76
Average Hourly Irregular Earnings (Euro),1.14,0.98,1.04,1.04,1.09,1.08,1.16,1.11,1.17,1.2,1.31
Average Hourly Total Earnings (Euro),21.62,22.2,22.04,21.93,21.98,21.92,21.85,21.89,22.06,22.43,23.07
Average Regular Weekly Paid Hours (Hours),31.7,31.1,30.9,30.7,30.8,30.8,31,31.3,31.4,31.5,31.6
Average Overtime Weekly Paid Hours (Hours),0.9,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8
Average Total Weekly Paid Hours (Hours),32.7,31.9,31.7,31.4,31.6,31.5,31.7,32,32.2,32.3,32.4
Registered Employment  (Number),1747800,1588100,1515500,1490700,1485000,1525600,1573000,1633300,1700000,1767200,1832900
